"","feature","coefficient","count"
"591","KRFP363",-0.729206275305016,25
"140","AATSC8s",-0.55877345676761,25
"366","minHCsatu",0.456811830507069,25
"627","KRFP1947",0.32296534709179,25
"543","PubchemFP686",-0.312403473187643,25
"501","PubchemFP372",0.280104409235884,25
"174","GATS7m",-0.263502866602192,25
"171","GATS4m",0.135438418416645,25
"691","KRFP4071",0.131815608729918,25
"654","KRFP3574",-0.114138185829635,25
"467","PubchemFP2",0.104557241177887,25
"727","AD2D414",-0.0877785559959764,25
"726","AD2D413",0.0543069588194624,25
"628","KRFP2025",0.0522322267856753,25
"596","KRFP413",0.0521914330975112,25
"615","KRFP683",0.0484420599575053,25
"846","APC2D6_C_Cl",-0.0409323857142058,25
"891","APC2D10_O_O",-0.0400398814817931,25
"89","ATSC3e",0.037471196846203,25
"191","GATS7p",-0.0347552602194729,25
"63","ATSC3c",0.0337956683729404,25
"127","AATSC7v",0.0192751564146869,25
"304","nHBint3",0.0156019811031438,25
"498","PubchemFP359",-0.0114414174054033,25
"227","SpMAD_Dzs",0.0106965277343847,25
